Name,Description,Comedy,Crime,Drama,Romance,Action and Adventure,Documentary and History,Family and Animation,Fantasy and Sci-Fi,Horror and Thriller,Combined
Sextetten Karlsson,"The story about Karlsson&apos;s six boys, who makes mischief in the fictional town of Östköping.",1,0,0,0,0,0,0,0,0,story karlsson boys make mischief fictional town ostkoping eastern europe write direct cast member
Tomorrow Never Comes,"Coming back from an extended business trip, Frank discovers that his girlfriend Janie is now working at a new resort hotel where the owner has given her a permanent place to stay, as well as other gifts, in exchange for her affect...",0,1,1,0,0,0,0,0,0,come back extend business trip frank discover girlfriend janie work new resort hotel owner give permanent place stay well gift exchange affect erotic hostage female nudity misogynist woman jeopardy
The School for Good and Evil,Best friends Sophie and Agatha find themselves on opposing sides of an epic battle when they&apos;re swept away into an enchanted school where aspiring heroes and villains are trained to protect the balance between Good and Evil.,1,0,1,0,1,0,0,0,0,best friends sophie agatha find oppose side epic battle sweep away enchant school aspire heroes villains train protect balance good evil school hero academy master witch
American Hot Wax,"The story of Alan Freed, the pioneering disc jockey who was instrumental in introducing and popularizing rock &apos;n&apos; roll in the 1950s.",0,0,1,0,0,1,0,0,0,story alan free pioneer disc jockey instrumental introduce popularize rock n roll timeframe payola disc jockey radio
An Enemy of the People,A scientist stands against an entire town when he discovers their medicinal spa is polluted.,0,0,1,0,0,0,0,0,0,scientist stand entire town discover medicinal spa pollute base play pollution altruism reference jesus christ reference galileo
Pretty Baby: Brooke Shields,"Follows actor, model, and icon Brooke Shields as she becomes a woman who discovers her power after being a sexualized young girl. She shows the dangers and triumphs of gaining agency in a hostile world.",0,0,0,0,0,1,0,0,0,follow actor model icon brooke shield become woman discover power sexualize young girl show dangers triumph gain agency hostile world reference brooke shield actress life career hulu
Leidenschaftliche Blümchen,This film tells the story about a group of girls at an exclusive German girls boarding school. Across the lake is an exclusive boys boarding school...,1,0,0,0,0,0,0,0,0,film tell story group girls exclusive german girls board school lake exclusive boys board school loss virginity girls board school nymphette nudity lolita
Five Days from Home,A man escapes from a Louisiana prison to be at the California hospital bedside of his ailing son.,0,1,1,0,1,0,0,0,0,man escape louisiana prison california hospital bedside ail son frame prison escape louisiana hospital
Jennifer,"Ostracized at a snooty private school because of her rural, poor background, a scholarship student is tormented to the point where her only remaining recourse is revenge, using the only method she knows: her psychic control over s...",0,0,0,0,0,0,0,0,1,ostracize snooty private school rural poor background scholarship student torment point remain recourse revenge use method know psychic control revenge telekinesis character name title woman wrap towel forename title
The Last Waltz,"The Last Waltz is a touching story about an old man named Waltz, who has been in a coma in a nursing facility. He has pushed others away for much of his adult life because of his wife&apos;s death and scarring military experiences. One...",0,0,1,0,0,0,1,0,0,last waltz touch story old man name waltz coma nurse facility push others away much adult life wife death scar military experience nan
The Student Nurses,Sexy young nurses apply special therapy in their daily rounds.,0,0,1,0,0,0,0,0,0,sexy young nurse apply special therapy daily round sexy nurse unwanted pregnancy blonde promiscuous woman female rear nudity
Warlords of Atlantis,Two deep-sea explorers and their crew must survive a master race of beings and monstrous creatures when they discover the fabled city of Atlantis.,0,0,0,0,1,0,0,1,0,deep sea explorers crew must survive master race monstrous creatures discover fabled city atlantis psychotronic film creature feature cryptozoology nazi occultism b sci fi
Nunzio,"Protected by his brother, a mentally impaired Brooklynite pretends he&apos;s Superman and becomes a hero.",0,0,1,0,0,0,0,0,0,protect brother mentally impair brooklynite pretend superman become hero character name title grocery store owner family relationships urban set new york city
The Sea Gypsies,A man and a woman and 3 children start to sail around the world. They are shipwrecked near an uninhabited isle. This island is full of wild animals and it is very dangerous for them in the beginning. They live through a lot of won...,0,0,0,0,1,0,1,0,0,man woman children start sail around world shipwreck near uninhabited isle island full wild animals dangerous begin live lot win island seal animal family relationships wolf winter
In Search of Anna,Tony&apos;s out of jail. His mates think he&apos;s got the proceeds from the robbery and want it. Tony just wants to find Anna. He deals with one problem at a time. This is a road movie and a trip. A great piece of work from writer/director...,0,0,1,0,0,0,0,0,0,tony jail mat think get proceed robbery want tony want find anna deal problem time road movie trip great piece work writer director female full frontal nudity outdoor sex woman proposition man buick car humphrey bogart impression
Damien: Omen II,"Damien the Antichrist, now about to turn thirteen years old, finally learns of his destiny under the guidance of an unholy disciple of Satan. Meanwhile dark forces begin to eliminate all those who suspect the child&apos;s true identity.",0,0,0,0,0,0,0,0,1,damien antichrist turn thirteen years old finally learn destiny guidance unholy disciple satan meanwhile dark force begin eliminate suspect child true identity antichrist evil child boy blond boy
The Comeback,"A singer holes up at a sinister estate to write new songs for his act. The ghost of his murdered wife begins to haunt him, then the person who actually killed her shows up at the mansion.",0,0,0,0,0,0,0,0,1,singer hole sinister estate write new songs act ghost murder wife begin haunt person actually kill show mansion american abroad husband wife relationship husband wife estrangement murder wife penthouse
Zero to Sixty,A divorced man hooks up with a street-smart sixteen-year-old who makes her living by repossessing cars from their owners.,1,0,0,0,0,0,0,0,0,divorce man hook street smart sixteen year old make live repossess cars owners diner bourbon whiskey beer female nudity teenage girl
Mouth to Mouth,"Young runaway Sherry meets the radical street collective Spark. Together they experience the group&apos;s giddy thrills as well as its punishing manipulations, as Sherry&apos;s journey to paradise begins to sour.",0,0,1,0,0,0,0,0,0,young runaway sherry meet radical street collective spark together experience group giddy thrill well punish manipulations sherry journey paradise begin sour cult daughter mother rescue someone follow
Circle of Life: An Environmental Fable,An attraction at EPCOT in Disney World which explains how damage is done to the environment and how we can prevent it.,0,0,0,0,0,0,1,0,0,attraction epcot disney world explain damage environment prevent lion king epcot theme park attraction environment
Newsfront,In post-war Australia the men and women of Cinetone struggle to produce the weekly news reels for the movie-going public.,0,0,1,0,0,1,0,0,0,post war australia men women cinetone struggle produce weekly news reel movie go public visit open door sydney australia city flood
The Magic of Lassie,Lassie is trying to find her way home. She will have to run all the way from Colorado to California. Her loving owner is looking for her too.,0,0,1,0,0,0,1,0,0,lassie try find way home run way colorado california love owner look animal character name title lassie character word title dog movie family relationships
Absolution,After a devastating incident an Informant is pushed back into the world he desperately wants to leave and forced to make drastic choices that will change his life forever.,0,0,0,0,1,0,0,0,1,devastate incident informant push back world desperately want leave force make drastic choices change life forever nan
Shotgun Wedding,Darcy and Tom gather their families for the ultimate destination wedding but when the entire wedding party is taken hostage the bride and groom must save their loved ones--if they don&apos;t kill each other first.,1,0,0,1,1,0,0,0,0,darcy tom gather families ultimate destination wed entire wed party take hostage bride groom must save love ones kill first love wed fight hostage couple
Avalanche,The vacationers at a winter wonderland struggle to survive after an avalanche of snow crashes into their ski resort. Their holiday then turns into a game of survival.,0,0,1,0,1,0,0,0,1,vacationers winter wonderland struggle survive avalanche snow crash ski resort holiday turn game survival female buttocks female nudity psychotronic film disaster action disaster drama
The Odd Job,"Arthur Harris is a happily-married man who returns from his job to discover that his wife Fiona is leaving him. Devastated, he gets really drunk and tries to commit suicide. After a few setbacks, he is trying to electrocute himsel...",1,0,0,0,0,0,0,0,0,arthur harris happily marry man return job discover wife fiona leave devastate get really drink try commit suicide setbacks try electrocute himsel satire comedy parody comedy seduction brother brother relationship spoof
Almost Summer,"A high school student body presidential race gets nasty when the expected winner, beautiful and popular Christine, is challenged by an unknown candidate, Darryl, carefully chosen and managed by Christine&apos;s Machiavelian ex-boyfriend.",1,0,0,0,0,0,0,0,0,high school student body presidential race get nasty expect winner beautiful popular christine challenge unknown candidate darryl carefully choose manage christine machiavelian ex boyfriend beach party teen movie high school high school election election
The Big Fix,A documentary that examines the April 2010 oil spill in the Gulf of Mexico following the sinking of the Deepwater Horizon oil rig.,0,0,0,0,0,1,0,0,0,documentary examine april oil spill gulf mexico follow sink deepwater horizon oil rig oil spill oil industry british petroleum bp big oil
Power Play,"Vijay, a young man, has everything going for him - he lands a plush job and is about to marry his love. But what happens when he finds himself in the center of a conspiracy?",0,0,0,0,0,0,0,0,1,vijay young man everything go land plush job marry love happen find center conspiracy conspiracy thriller conspiracy
Watership Down,A group of friends embark on a road trip into the unknown.,0,0,0,0,0,0,0,0,0,group friends embark road trip unknown costa rica pneuma heavy metal music video
Magic Mike&apos;s Last Dance,"Mike takes to the stage again, following a business deal that went bust, leaving him broke and taking bartender gigs in Florida. Mike heads to London with a wealthy socialite who lures him with an offer he can&apos;t refuse.",1,0,1,0,0,0,0,0,0,mike take stage follow business deal go bust leave break take bartender gigs florida mike head london wealthy socialite lure offer refuse sequel third part part trilogy offer showbiz drama
The Children of Sanchez,"The Sanchez clan has seen the worst of times living in impoverished Mexico but they have survived by sticking together. When Sanchez&apos;s oldest daughter Consuelo plans to change direction and build a life of her own, the family and ...",0,0,1,0,0,0,0,0,0,sanchez clan see worst time live impoverish mexico survive stick together sanchez oldest daughter consuelo plan change direction build life family base novel independent film character name title
Killer of Sheep,"Set in the Watts area of Los Angeles, a slaughterhouse worker must suspend his emotions to continue working at a job he finds repugnant, and then he finds he has little sensitivity for the family he works so hard to support.",0,0,1,0,0,0,0,0,0,set watts area los angeles slaughterhouse worker must suspend emotions continue work job find repugnant find little sensitivity family work hard support national film registry slaughterhouse violence train top
Long Weekend,"A down-on-his-luck struggling writer, meets an enigmatic woman who enters his life at the right time.",1,0,0,1,0,0,0,0,0,luck struggle writer meet enigmatic woman enter life right time struggle writer word title write direct cast member psychiatrist man woman romance
Guillermo del Toro&apos;s Pinocchio,"A father&apos;s wish magically brings a wooden boy to life in Italy, giving him a chance to care for the child.",0,0,1,0,0,0,1,0,0,father wish magically bring wooden boy life italy give chance care child magic monkey stop motion animation pinocchio character italy
Uncle Joe Shannon,"Self-destructive after the deaths of his wife and child in a fire, a trumpet player befriends a crippled youngster and together they battle obstacles through each other&apos;s encouragement.",0,0,1,0,0,0,0,0,0,self destructive deaths wife child fire trumpet player befriend cripple youngster together battle obstacles encouragement hare krishna trumpet independent film
King of the Gypsies,"In the criminal and violent world of modern-day Gypsies based in New York City, their &apos;king&apos; Zharko Stepanowicz passes his leadership to his unwilling grandson, leaving the skipped father resentful.",0,0,1,0,0,0,0,0,0,criminal violent world modern day gypsies base new york city king zharko stepanowicz pass leadership unwilling grandson leave skip father resentful romani people romani culture gypsy king romani family romani american
Starcrash,An outlaw smuggler and her alien companion are recruited by the Emperor of the Galaxy to rescue his son and destroy a secret weapon by the evil Count Zarth Arn.,0,0,0,0,1,0,0,1,0,outlaw smuggler alien companion recruit emperor galaxy rescue son destroy secret weapon evil count zarth arn space opera lightsaber emperor robot space battle
American Boy: A Profile of - Steven Prince,"Director Martin Scorsese talks to actor Steven Prince about his past. As the night goes on, Prince reveals some very amusing and moving stories of his experiences with drugs and violence.",0,0,0,0,0,1,0,0,0,director martin scorsese talk actor steven prince past night go prince reveal amuse move stories experience drug violence cinema verite interview drug addiction stand comedy mother son relationship
La Cage aux folles,"The manager of a Saint-Tropez nightclub featuring drag entertainment, and his star attraction, are a gay couple. Madness ensues when his straight son brings home a fiancée and her ultra-conservative parents to meet them.",1,0,0,0,0,0,0,0,0,manager saint tropez nightclub feature drag entertainment star attraction gay couple madness ensue straight son bring home fiancee ultra conservative parent meet literature screen european literature screen french literature screen male female cross dress identity crisis
Closed Circuit,"Two men in suits shoot at the frightened crowd in a popular Tel Aviv cafe. No one escapes unharmed. All caught on security cameras, Closed Circuit deconstructs this event to give insight into the complex Israeli reality and the la...",0,0,0,0,0,1,0,0,0,men suit shoot frighten crowd popular tel aviv cafe escape unharmed catch security cameras close circuit deconstruct event give insight complex israeli reality la nan
The Curse of Cain,An ex-convict seeks redemption after serving his time. Will his mistakes cost his family forever?,0,0,1,0,0,0,0,0,0,ex convict seek redemption serve time mistake cost family forever nan
The Neon Demon,"An aspiring model, Jesse, is new to Los Angeles. However, her beauty and youth, which generate intense fascination and jealousy within the fashion industry, may prove themselves sinister.",0,0,0,0,0,0,0,0,1,aspire model jesse new los angeles beauty youth generate intense fascination jealousy fashion industry prove sinister model lesbian cannibalism empty swim pool fashion
Don Jon,"A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.",1,0,1,1,0,0,0,0,0,new jersey guy dedicate family friends church develop unrealistic expectations watch porn work find happiness intimacy potential true love watch porn sex pornography husband wife relationship older woman younger man relationship
"GodHead: In a fiction, in a dream of passion",Dreamers in a lonely circus.,0,0,1,0,0,0,0,0,0,dreamers lonely circus nan
Ecce bombo,An ironic peek into the life of a group of Italian university students in the 1970s.,1,0,1,0,0,0,0,0,0,ironic peek life group italian university students rome italy cult director low budget film schizophrenia reference karl marx
Deutschland im Herbst,Germany in Autumn has no typical plot; it mixes documentary footage with standard movie scenes to present the mood of Germany during the late 1970s. The film covers 2 months in 1977 when a businessman was kidnapped and murdered by...,0,0,1,0,0,1,0,0,0,germany autumn typical plot mix documentary footage standard movie scenes present mood germany late film cover months businessman kidnap murder new german cinema large penis mother son argument burial tension
The Herd,Paula is imprisoned in inhuman squalor with other women; her captors abuse as resources her existence and human function. Escape on any level is hopeless as the women are condemned to lives of enforced servitude at their jailers&apos; ...,0,0,0,0,0,0,0,0,1,paula imprison inhuman squalor women captors abuse resources existence human function escape level hopeless women condemn live enforce servitude jailers allegory cage cage slave title direct female
Moy laskovyy i nezhnyy zver,"A romantic drama in which a beautiful but poor young woman has to choose between three suitors: an old widower, a decadent nobleman and a handsome but poor young man.",0,0,1,1,0,0,0,0,0,romantic drama beautiful poor young woman choose suitors old widower decadent nobleman handsome poor young man forbid love year base novel provincial russia suzdal russia
In einem Jahr mit 13 Monden,"A transgender woman tries to salvage something from the wreckage love has made of her life by confronting her anguished past, hoping to find ultimate acceptance among former acquaintances and herself.",0,0,1,0,0,0,0,0,0,transgender woman try salvage something wreckage love make life confront anguish past hop find ultimate acceptance former acquaintances father daughter reunion emotional depression emotional breakdown butcher gender transition
In Praise of Older Women,"Andras Vajda grows up in a turbulent, war-torn Hungary, where he procures local girls for the occupying G.I.&apos;s during World War II. Disappointed by girls of his age, he meets Maya, a married women in her thirties, who tutors him i...",1,0,1,1,0,0,0,0,0,andras vajda grow turbulent war tear hungary procure local girls occupy g world war ii disappoint girls age meet maya marry women thirties tutor bare chested male montreal quebec canada horseback rid budapest hungary adultery
Kondura (The Sage from the Sea),"Jogamma is the widow of Brahmin Pandit Range Rao, and lives in a coastal village in Southern India along with her two married sons, Narsimha, who is married to Seethamma and has two sons; while Parasuram is married to Ansuya. Nars...",0,0,1,0,0,0,0,0,0,jogamma widow brahmin pandit range rao live coastal village southern india along marry sons narsimha marry seethamma sons parasuram marry ansuya nars nan
De mantel der Liefde,"This is a persiflage on the Ten Commandments. Jesus asks Moses what actually happened of those Ten Commandments. The following, self-contained, scenes are a mirror of this age in which violence, hypocrisy and cruelty celebrate.",1,0,0,0,0,0,0,0,0,persiflage commandments jesus ask moses actually happen commandments follow self contain scenes mirror age violence hypocrisy cruelty celebrate male full frontal nudity pistol bakery cake pub
Okupacija u 26 slika,"Three young men - a Croat, an Italian, and a Jew - are the best friends in pre-WW2 Dubrovnik. When their country is occupied by Nazis and their cronies, the idyllic city becomes a place of terror and gruesome massacres. The friend...",0,0,1,1,1,0,0,0,0,young men croat italian jew best friends pre ww dubrovnik country occupy nazis cronies idyllic city become place terror gruesome massacre friend propaganda communist propaganda titoism revisionist history lie
The Sailor&apos;s Return,"An old farmer, ruined by misfortunes to his crops, is unable to meet the landlord&apos;s demands. The farmer&apos;s pretty daughter attracts the attention of the landlord, and he, having neither youth nor personal attractions to recommend h...",0,0,1,0,0,0,0,0,0,old farmer ruin misfortunes crop unable meet landlord demand farmer pretty daughter attract attention landlord neither youth personal attractions recommend h nan
Das zweite Erwachen der Christa Klages,"Three people rob a bank to help a daycare center that&apos;s in debt. Wolf is captured, Werner is identified, and police suspect that Christa is the third. She and Werner ask Hans, a clergyman, to launder the money and give it to the k...",0,0,1,0,0,0,0,0,0,people rob bank help daycare center debt wolf capture werner identify police suspect christa third werner ask hans clergyman launder money give k police f rat new german cinema stockholm syndrome arrest
Yagyû ichizoku no inbô,"Following the death of the second Tokugawa shogun, it is revealed that he was poisoned by retainers of his son Iemitsu in hopes of gaining him the shogunate despite the stammer and birthmark which undermine his respect. Iemitsu an...",0,0,1,0,1,0,0,0,0,follow death second tokugawa shogun reveal poison retainers son iemitsu hop gain shogunate despite stammer birthmark undermine respect iemitsu epic feud rivalry th century violence
The Small One,"Ordered by his father to sell his old, small donkey, named Small One, a boy in ancient Palestine takes the donkey to the Jerusalem market. Finding no buyers there, the boy is about to give up when he meets a kind man named Joseph.",0,0,1,0,0,0,1,0,0,order father sell old small donkey name small boy ancient palestine take donkey jerusalem market find buyers boy give meet kind man name joseph auction auctioneer horse auction nativity story runt
Toplo,"A tenement house needs to have steam heating installed. The residents find the necessary workers to do it, sign the contract and pay them in advance. The workers show up and start their job, but disappear immediately. Panic-strick...",1,0,0,0,0,0,0,0,0,tenement house need steam heat instal residents find necessary workers sign contract pay advance workers show start job disappear immediately panic strick nan
L&apos;albero degli zoccoli,Peasant life in a feudal farm in rural Italy at the end of the 19th century.,0,0,1,0,0,1,0,0,0,peasant life feudal farm rural italy end th century bedwetting chase animal french soldier pianist
Trishul,"An engineer visiting a town, has a brief affair with a local girl and walks off, leaving her with a child. The son grows up to avenge his deserted mother. Vijay is the angry young man playing the son.",0,0,1,0,1,0,0,0,0,engineer visit town brief affair local girl walk leave child son grow avenge desert mother vijay angry young man play son construction company promise death hardship anger
Las truchas,"In a restaurant they&apos;re preparing a grand banquet in honor of a sports association of anglers, but several circumstances seem to have conspired to boycott the event.",1,0,0,0,0,0,0,0,0,restaurant prepare grand banquet honor sport association anglers several circumstances seem conspire boycott event restaurant fish title
Twelve Days of Christmas,"Amy and Steve return home after their first semester of college hoping for a relaxed winter break but have to navigate turbulent reunions, unspoken romances and an unplanned pregnancy.",1,0,1,0,0,0,0,0,0,amy steve return home first semester college hop relax winter break navigate turbulent reunions unspoken romance unplanned pregnancy holiday christmas come age college pregnancy
Paviljon VI,"A doctor from provincial town in Tsardom of Russia meets his former student in Ward 6, where the story takes place. Impressed by his rebellious spirit and clever remarks, he tends to spend more time with him while also indulging i...",0,0,1,0,0,0,0,0,0,doctor provincial town tsardom russia meet former student ward story take place impress rebellious spirit clever remark tend spend time indulge base novel
Zan xian sheng yu zhao qian Hua,"Beloved for its combination of thrilling combat choreography and hilarious physical comedy, the film tells the story of a humble cashier who discovers a plot to kill his small town mayor.",1,0,1,0,1,0,0,0,0,beloved combination thrill combat choreography hilarious physical comedy film tell story humble cashier discover plot kill small town mayor mayor assassin sword spear vendor
Wolf Lake,"War veterans visit a lakeside cabin for a week of shooting, drinking, etc. but find the cabin being looked after by a young caretaker named David. When David&apos;s status as a war deserter is revealed, all hell breaks loose.",0,0,1,0,0,0,0,0,1,war veterans visit lakeside cabin week shoot drink etc find cabin look young caretaker name david david status war deserter reveal hell break loose seaplane target practice scotch whiskey hit head bottle woman slap man face
Some Came Running,A veteran returns home to deal with family secrets and small-town scandals.,0,0,1,1,0,0,0,0,0,veteran return home deal family secrets small town scandals alcoholic homecoming soldier alcoholic drink female drink
Texas Cyclone,"Pecos Grant rides into a strange town only to find that everyone recognizes him, not as Pecos Grant, but as a presumed-dead man named Rawlins. Even Rawlins&apos; wife thinks her husband has come back. Pecos sets out to solve the mystery.",0,0,0,0,1,0,0,0,0,pecos grant rid strange town find everyone recognize pecos grant presume dead man name rawlins even rawlins wife think husband come back pecos set solve mystery b western
The Private Life of Henry VIII. 3D,"The film focuses on the reign of Henry VIII, King of England, and his various marriages.",1,0,0,0,0,1,0,0,0,film focus reign henry viii king england various marriages nan
The Saxon Chronicles,"Set in the 9th century, Alfred the Great, England&apos;s most influential and inspiring king, escapes his kingdom when it is attacked by the Viking Horde. Anguished and alone he finds himself in the company of some unlikely friends and...",0,0,1,0,1,1,0,0,0,set th century alfred great england influential inspire king escape kingdom attack viking horde anguish alone find company unlikely friends nan
Range Warfare,"Marshal Reb Russell (Reb Russell), working for the Cattleman&apos;s Pretectice Association, is sent into a territory to investigate a large-scale rustling operation carried out by a well organized gang of outlaws. He is ambushed outsid...",0,0,0,0,1,0,0,0,0,marshal reb russell reb russell work cattleman pretectice association send territory investigate large scale rustle operation carry well organize gang outlaw ambush outsid cattleman protective association gunfire
Jack Ahoy,A song and dance comedy in which Jack Hulbert plays an incompetent sailor.,1,0,0,0,0,0,0,0,0,song dance comedy jack hulbert play incompetent sailor song
Follow the Fleet,A Navy sailor tries to rekindle a romance with the woman he loves while on liberty in San Francisco.,1,0,0,1,0,0,0,0,0,navy sailor try rekindle romance woman love liberty san francisco remake damsel distress deception shore leave shore patrolman
Girls of the Big House,"A college professor&apos;s well-bred daughter assumes the name of Jeanne Crail to date Earl Williams, a slick con artist who frames her for robbery. Rather than have her father find out about her plight, Jeanne confesses to the crime. ...",0,1,1,0,1,0,0,0,0,college professor well breed daughter assume name jeanne crail date earl williams slick con artist frame robbery rather father find plight jeanne confess crime lesbian subtext damsel distress deception song stock footage
A Face in the Crowd,An hour long hand spliced epic s8mm movie chronicles the life of a writer traveling hopefully to loveless New York.,0,0,1,0,0,0,0,0,0,hour long hand splice epic mm movie chronicle life writer travel hopefully loveless new york nan
Murders in the Rue Morgue,Paris...at the turn of the century. Inspector Vidocq investigates a series of unexplained murders at a Grand Guignol-type theatre...where the players have suddenly become real-life victims. Based on the story by Edgar Allan Poe.,0,1,0,0,0,0,0,0,1,paris turn century inspector vidocq investigate series unexplained murder grand guignol type theatre players suddenly become real life victims base story edgar allan poe murder grand guignol burn victim confront past red herring
Rancho Notorious,"After the murder of his fiancée, a Wyoming ranch hand sets out to find her killer.",0,0,0,0,1,0,0,0,0,murder fiancee wyoming ranch hand set find killer revenge motive female sexual predator song flashback flash forward
Alice Adams,Alice (Florence Vidor) is not satisfied with her family&apos;s financial situation and tries to convince others that she comes from a wealthy family. In the end she discovers that she is only fooling herself and decides to go to work t...,0,0,1,0,0,0,0,0,0,alice florence vidor satisfy family financial situation try convince others come wealthy family end discover fool decide go work family relationships americana social climber pulitzer prize source base novel
It&apos;s Always Fair Weather,"Three soldiers meet ten years after their last meeting in New York, and find out that they have little in common now.",1,0,1,0,0,0,0,0,0,soldier meet years last meet new york find little common reference taj mahal friendship wear lamp shade head trash lid tap dance
Fighting Youth,Communist subversives try to take over a college.,0,0,1,0,0,0,0,0,1,communist subversives try take college subversion reference university notre dame reference notre dame football college drum major
Santa Fe Stampede,The Mesquiteers capture a horse thief who escapes justice through a crooked judge. They gather signatures urging the governor to investigate but a friend with the petition is murdered. Stony is accused.,0,0,0,0,1,0,0,0,0,mesquiteers capture horse thief escape justice crook judge gather signatures urge governor investigate friend petition murder stony accuse mesquiteers series
Wide Boy,"The title, in British police parlance of the day, defines a petty crook whose criminal activities are minor and legal-borderline, but the title character in this film appears to stretch the definition. Benny steals a purse from Me...",0,1,1,0,0,0,0,0,0,title british police parlance day define petty crook whose criminal activities minor legal borderline title character film appear stretch definition benny steal purse police criminal
Fire Maidens from Outer Space,"A team of astronauts lands on a moon of Jupiter to find it populated with beautiful young women looking for mates. An old man explains to the explorers the group&apos;s story, as well as the moon&apos;s dangers.",0,0,0,0,0,0,0,1,0,team astronauts land moon jupiter find populate beautiful young women look mat old man explain explorers group story well moon dangers astronaut space sci fi psychotronic film female feet camera shoot woman feet sandals
The Jerk Theory,"The lead singer/guitarist of a high school rock band openly and unapologetically proclaims himself a newly converted jerk; however, the right girl comes along who could change him back to his former sweet self.",1,0,0,1,0,0,0,0,0,lead singer guitarist high school rock band openly unapologetically proclaim newly convert jerk right girl come along could change back former sweet self water fountain date rock band high school hotel room key
Moonraker,"It&apos;s 1954 and Sir Hugo Drax has built an atomic rocket, Moonraker. But after a double-murder, James Bond goes undercover at Moonraker&apos;s secret base. He and agent Gala Brand discover possible treachery. Can they prevent a catastrophe?",0,0,1,0,1,0,0,0,0,sir hugo drax build atomic rocket moonraker double murder jam bond go undercover moonraker secret base agent gala brand discover possible treachery prevent catastrophe spy year cold war physicist
Suhaag,"Collegian Ajay Sharma was born on 2 April 1968 and lives in Bombay with his widowed mom Asha. He is friendly with fellow-collegian Raj Sinha, from a wealthy family. Ajay often gets beaten up by goons and Raj gets beaten up by his ...",1,0,1,0,1,0,0,0,0,collegian ajay sharma bear april live bombay widow mom asha friendly fellow collegian raj sinha wealthy family ajay often get beat goons raj get beat court mother son relationship angry girlfriend girlfriend slap boyfriend birth certificate
Breaking Away,"Aaron, a working-class teenager is accepted to an elite private school for his basketball skills. His stardom in school gains him the attention of the most popular clan and the concern of an overly caring teacher.",0,0,1,0,0,0,0,0,0,aaron work class teenager accept elite private school basketball skills stardom school gain attention popular clan concern overly care teacher basketball teenager
The China Syndrome: A Fusion of Talent,Behind-the-scenes documentary about the making of The China Syndrome.,0,0,0,0,0,1,0,0,0,behind scenes documentary make china syndrome make
Yanks,"Joining WWII, USA ships soldiers to UK. Matt and John arrive in 1942. Each see a local woman - married or to be engaged with soldiers serving faraway.",0,0,1,0,1,0,0,0,0,join wwii usa ship soldier uk matt john arrive see local woman marry engage soldier serve faraway male full frontal nudity train station soldier sex scene premarital sex
Always Say Goodbye,"A sexy, free spirit meets her match in a photographer and serial bachelor. Both of them turn up the personal fires, but neither can commit. Starring Marcia Cross and Joshua Beckett.",1,0,0,1,0,0,0,0,0,sexy free spirit meet match photographer serial bachelor turn personal fire neither commit star marcia cross joshua beckett female rear nudity female nudity independent film
Die Blechtrommel,"In 1924, Oskar Matzerath is born in the Free City of Danzig. At age three, he falls down a flight of stairs and stops growing. In 1939, World War II breaks out.",0,0,1,0,1,0,0,0,0,oskar matzerath bear free city danzig age fall flight stairs stop grow world war ii break sexual intercourse gnome free city danzig nazism nazi
The Adolescent,"When she finds her mother having sex with her boyfriend, a 13-year-old girl from Tokyo is sent to her aunt; a terrible decision which leads to tensions within the family.",0,0,1,0,0,0,0,0,0,find mother sex boyfriend year old girl tokyo send aunt terrible decision lead tensions family adolescence filial relations softcore pinku eiga female rear nudity
Agatha,"December 1926, Agatha Christie&apos;s husband asks for a divorce. She leaves her car and goes missing 11 days. She books into a hotel as Mrs. Neele. Fiction: A US reporter looks for her and investigates.",0,0,1,0,0,0,0,0,1,december agatha christie husband ask divorce leave car go miss days book hotel mrs neele fiction us reporter look investigate agatha christie character begin text suicide note drag pond
An Almost Perfect Affair,A smalltime US filmmaker goes to Cannes to try to get his movie in the limelight. A wife of one of the producers there gets interested in his story and they begin an affair.,1,0,0,1,0,0,0,0,0,smalltime us filmmaker go cannes try get movie limelight wife producers get interest story begin affair france filmmaker extramarital affair female nudity bathtub
Americathon,"In a story told in narrative flashbacks, a young TV consultant is hired by the President of a bankrupt USA to organize a telethon in order to prevent the country from being repossessed by wealthy Native Americans.",1,0,0,0,0,0,0,0,0,story tell narrative flashbacks young tv consultant hire president bankrupt usa organize telethon order prevent country repossess wealthy native americans energy crisis telethon native american political satire national debt
The Apple Dumpling Gang Rides Again,"The adventures of two idiotic outlaw wannabees, Amos and Theodore.",1,0,0,0,1,0,1,0,0,adventure idiotic outlaw wannabees amos theodore fruit title second part word title slimehouse outlaw
Osenniy marafon,School teacher is cheating on his wife and lies about it.,1,0,1,1,0,0,0,0,0,school teacher cheat wife lie russia neighbor alcoholism alcoholic language learn
Ball Lightning,A pair of scavengers discover something strange after wandering onto the property of a mysterious technician.,0,0,0,0,0,0,0,1,0,pair scavengers discover something strange wander onto property mysterious technician nan
Tcherike-ye Tara,"Tara, the young beautiful widow, returns with her two little kids from country to her village. In her way home, she finds out that her grandfather has passed away. She distributes grandpa&apos;s belongings among her neighbours. But the...",0,0,1,0,0,0,0,1,0,tara young beautiful widow return little kid country village way home find grandfather pass away distribute grandpa belong neighbour female protagonist widow sword warrior horse
